,in_degree,pos_in_edges,neg_in_edges,out_degree,pos_out_edges,neg_out_edges
263,1.0,1.0,0.0,2.0,2.0,0.0
264,1.0,1.0,0.0,0.0,0.0,0.0
265,4.0,4.0,0.0,3.0,3.0,0.0
266,16.0,16.0,0.0,16.0,16.0,0.0
267,1.0,1.0,0.0,1.0,1.0,0.0
268,4.0,4.0,0.0,5.0,5.0,0.0
269,4.0,4.0,0.0,3.0,3.0,0.0
270,32.0,30.0,2.0,41.0,37.0,4.0
271,2.0,2.0,0.0,2.0,2.0,0.0
272,11.0,11.0,0.0,8.0,8.0,0.0
273,15.0,15.0,0.0,24.0,24.0,0.0
274,19.0,19.0,0.0,15.0,15.0,0.0
275,2.0,2.0,0.0,1.0,1.0,0.0
276,3.0,3.0,0.0,4.0,4.0,0.0
277,2.0,2.0,0.0,1.0,1.0,0.0
278,3.0,3.0,0.0,2.0,2.0,0.0
279,1.0,1.0,0.0,1.0,1.0,0.0
280,52.0,51.0,1.0,52.0,51.0,1.0
281,1.0,1.0,0.0,0.0,0.0,0.0
282,6.0,6.0,0.0,3.0,3.0,0.0
283,12.0,12.0,0.0,12.0,12.0,0.0
284,7.0,7.0,0.0,9.0,9.0,0.0
285,6.0,6.0,0.0,6.0,6.0,0.0
286,2.0,2.0,0.0,2.0,2.0,0.0
287,1.0,1.0,0.0,1.0,1.0,0.0
288,5.0,5.0,0.0,5.0,5.0,0.0
289,1.0,1.0,0.0,1.0,1.0,0.0
290,1.0,1.0,0.0,1.0,1.0,0.0
291,1.0,1.0,0.0,1.0,1.0,0.0
292,2.0,2.0,0.0,1.0,1.0,0.0
293,6.0,5.0,1.0,3.0,3.0,0.0
294,1.0,1.0,0.0,1.0,1.0,0.0
295,16.0,16.0,0.0,18.0,18.0,0.0
296,4.0,4.0,0.0,1.0,1.0,0.0
297,3.0,3.0,0.0,1.0,1.0,0.0
298,10.0,10.0,0.0,6.0,6.0,0.0
299,2.0,2.0,0.0,2.0,2.0,0.0
300,3.0,3.0,0.0,3.0,3.0,0.0
301,4.0,4.0,0.0,3.0,3.0,0.0
302,1.0,1.0,0.0,0.0,0.0,0.0
303,1.0,1.0,0.0,1.0,1.0,0.0
304,76.0,76.0,0.0,84.0,83.0,1.0
305,1.0,1.0,0.0,1.0,1.0,0.0
306,1.0,1.0,0.0,1.0,1.0,0.0
307,2.0,2.0,0.0,1.0,1.0,0.0
308,11.0,11.0,0.0,7.0,7.0,0.0
309,29.0,25.0,4.0,36.0,23.0,13.0
310,4.0,2.0,2.0,4.0,4.0,0.0
311,1.0,1.0,0.0,1.0,1.0,0.0
312,9.0,9.0,0.0,9.0,8.0,1.0
313,2.0,2.0,0.0,2.0,2.0,0.0
314,1.0,1.0,0.0,2.0,2.0,0.0
315,2.0,1.0,1.0,0.0,0.0,0.0
316,1.0,1.0,0.0,2.0,2.0,0.0
317,2.0,2.0,0.0,3.0,3.0,0.0
318,3.0,3.0,0.0,5.0,4.0,1.0
319,8.0,8.0,0.0,5.0,5.0,0.0
320,5.0,5.0,0.0,5.0,5.0,0.0
321,5.0,5.0,0.0,5.0,5.0,0.0
322,4.0,4.0,0.0,7.0,7.0,0.0
323,1.0,1.0,0.0,1.0,1.0,0.0
324,4.0,4.0,0.0,2.0,2.0,0.0
325,6.0,6.0,0.0,10.0,10.0,0.0
326,1.0,1.0,0.0,1.0,1.0,0.0
327,1.0,1.0,0.0,1.0,1.0,0.0
328,3.0,3.0,0.0,1.0,1.0,0.0
329,1.0,1.0,0.0,1.0,1.0,0.0
330,9.0,8.0,1.0,6.0,5.0,1.0
331,2.0,2.0,0.0,1.0,1.0,0.0
332,2.0,2.0,0.0,3.0,3.0,0.0
333,1.0,1.0,0.0,1.0,1.0,0.0
334,1.0,1.0,0.0,0.0,0.0,0.0
335,1.0,1.0,0.0,0.0,0.0,0.0
336,1.0,1.0,0.0,0.0,0.0,0.0
337,1.0,1.0,0.0,0.0,0.0,0.0
338,1.0,1.0,0.0,0.0,0.0,0.0
339,2.0,2.0,0.0,2.0,2.0,0.0
340,5.0,5.0,0.0,4.0,4.0,0.0
341,1.0,1.0,0.0,0.0,0.0,0.0
342,9.0,8.0,1.0,16.0,14.0,2.0
343,1.0,1.0,0.0,0.0,0.0,0.0
344,1.0,1.0,0.0,0.0,0.0,0.0
345,3.0,3.0,0.0,3.0,3.0,0.0
346,19.0,19.0,0.0,21.0,19.0,2.0
347,7.0,6.0,1.0,2.0,2.0,0.0
348,3.0,3.0,0.0,3.0,3.0,0.0
349,1.0,1.0,0.0,1.0,1.0,0.0
350,24.0,24.0,0.0,26.0,26.0,0.0
351,2.0,2.0,0.0,2.0,2.0,0.0
352,1.0,1.0,0.0,1.0,1.0,0.0
353,70.0,70.0,0.0,66.0,65.0,1.0
354,1.0,1.0,0.0,1.0,1.0,0.0
355,1.0,1.0,0.0,1.0,1.0,0.0
356,4.0,4.0,0.0,3.0,3.0,0.0
357,2.0,2.0,0.0,2.0,2.0,0.0
358,2.0,2.0,0.0,2.0,2.0,0.0
359,10.0,9.0,1.0,10.0,8.0,2.0
360,2.0,2.0,0.0,1.0,1.0,0.0
361,42.0,41.0,1.0,67.0,48.0,19.0
362,1.0,1.0,0.0,0.0,0.0,0.0
363,26.0,26.0,0.0,32.0,29.0,3.0
364,1.0,1.0,0.0,0.0,0.0,0.0
365,3.0,3.0,0.0,2.0,2.0,0.0
366,3.0,3.0,0.0,6.0,5.0,1.0
367,1.0,1.0,0.0,1.0,1.0,0.0
368,1.0,1.0,0.0,1.0,1.0,0.0
369,1.0,1.0,0.0,0.0,0.0,0.0
370,1.0,1.0,0.0,1.0,1.0,0.0
371,1.0,1.0,0.0,2.0,2.0,0.0
372,6.0,6.0,0.0,3.0,3.0,0.0
373,1.0,1.0,0.0,0.0,0.0,0.0
374,10.0,8.0,2.0,9.0,9.0,0.0
375,2.0,2.0,0.0,1.0,1.0,0.0
376,1.0,1.0,0.0,0.0,0.0,0.0
377,2.0,2.0,0.0,1.0,1.0,0.0
378,7.0,6.0,1.0,8.0,8.0,0.0
379,1.0,1.0,0.0,1.0,1.0,0.0
380,4.0,4.0,0.0,2.0,2.0,0.0
381,1.0,1.0,0.0,0.0,0.0,0.0
382,1.0,1.0,0.0,1.0,1.0,0.0
383,14.0,12.0,2.0,13.0,13.0,0.0
384,11.0,11.0,0.0,8.0,8.0,0.0
385,1.0,1.0,0.0,1.0,1.0,0.0
386,8.0,7.0,1.0,10.0,10.0,0.0
387,14.0,12.0,2.0,13.0,13.0,0.0
388,1.0,1.0,0.0,1.0,1.0,0.0
389,2.0,2.0,0.0,1.0,1.0,0.0
390,8.0,8.0,0.0,10.0,10.0,0.0
391,1.0,1.0,0.0,1.0,1.0,0.0
392,2.0,2.0,0.0,1.0,1.0,0.0
393,7.0,7.0,0.0,9.0,9.0,0.0
394,11.0,11.0,0.0,8.0,8.0,0.0
395,8.0,7.0,1.0,19.0,9.0,10.0
396,8.0,7.0,1.0,10.0,10.0,0.0
397,1.0,1.0,0.0,5.0,4.0,1.0
398,1.0,1.0,0.0,1.0,1.0,0.0
399,15.0,15.0,0.0,11.0,10.0,1.0
400,1.0,1.0,0.0,1.0,1.0,0.0
401,6.0,6.0,0.0,6.0,6.0,0.0
402,7.0,7.0,0.0,7.0,7.0,0.0
403,1.0,1.0,0.0,1.0,1.0,0.0
404,3.0,3.0,0.0,6.0,6.0,0.0
405,14.0,13.0,1.0,15.0,14.0,1.0
406,2.0,2.0,0.0,3.0,3.0,0.0
407,2.0,2.0,0.0,0.0,0.0,0.0
408,12.0,12.0,0.0,7.0,7.0,0.0
409,3.0,3.0,0.0,2.0,2.0,0.0
410,5.0,1.0,4.0,4.0,4.0,0.0
411,3.0,3.0,0.0,2.0,2.0,0.0
412,10.0,8.0,2.0,5.0,4.0,1.0
413,1.0,1.0,0.0,0.0,0.0,0.0
414,1.0,1.0,0.0,1.0,1.0,0.0
415,17.0,16.0,1.0,14.0,13.0,1.0
416,13.0,13.0,0.0,11.0,11.0,0.0
417,4.0,4.0,0.0,6.0,6.0,0.0
418,13.0,12.0,1.0,11.0,11.0,0.0
419,3.0,3.0,0.0,5.0,5.0,0.0
420,1.0,1.0,0.0,0.0,0.0,0.0
421,4.0,4.0,0.0,6.0,6.0,0.0
422,1.0,1.0,0.0,0.0,0.0,0.0
423,5.0,4.0,1.0,4.0,4.0,0.0
424,2.0,2.0,0.0,3.0,3.0,0.0
425,23.0,19.0,4.0,25.0,22.0,3.0
426,1.0,1.0,0.0,0.0,0.0,0.0
427,10.0,10.0,0.0,12.0,11.0,1.0
428,3.0,3.0,0.0,2.0,2.0,0.0
429,1.0,1.0,0.0,1.0,1.0,0.0
430,1.0,1.0,0.0,1.0,1.0,0.0
431,2.0,2.0,0.0,1.0,1.0,0.0
432,2.0,2.0,0.0,3.0,2.0,1.0
433,5.0,5.0,0.0,4.0,4.0,0.0
434,1.0,1.0,0.0,1.0,1.0,0.0
435,2.0,2.0,0.0,2.0,2.0,0.0
436,12.0,12.0,0.0,12.0,12.0,0.0
437,2.0,2.0,0.0,1.0,1.0,0.0
438,2.0,2.0,0.0,1.0,1.0,0.0
439,0.0,0.0,0.0,5.0,5.0,0.0
440,1.0,1.0,0.0,2.0,2.0,0.0
441,6.0,6.0,0.0,4.0,4.0,0.0
442,1.0,1.0,0.0,1.0,1.0,0.0
443,9.0,9.0,0.0,14.0,13.0,1.0
444,1.0,1.0,0.0,1.0,0.0,1.0
445,1.0,1.0,0.0,1.0,1.0,0.0
446,15.0,14.0,1.0,18.0,18.0,0.0
447,2.0,2.0,0.0,2.0,2.0,0.0
448,4.0,4.0,0.0,3.0,3.0,0.0
449,2.0,2.0,0.0,2.0,2.0,0.0
450,1.0,1.0,0.0,1.0,1.0,0.0
451,1.0,1.0,0.0,2.0,2.0,0.0
452,18.0,16.0,2.0,17.0,17.0,0.0
453,3.0,3.0,0.0,3.0,3.0,0.0
454,3.0,3.0,0.0,3.0,3.0,0.0
455,9.0,8.0,1.0,5.0,5.0,0.0
456,1.0,1.0,0.0,1.0,1.0,0.0
457,1.0,1.0,0.0,1.0,1.0,0.0
458,1.0,1.0,0.0,2.0,2.0,0.0
459,2.0,2.0,0.0,4.0,4.0,0.0
460,0.0,0.0,0.0,1.0,1.0,0.0
461,1.0,1.0,0.0,1.0,1.0,0.0
462,13.0,12.0,1.0,9.0,9.0,0.0
463,5.0,4.0,1.0,4.0,3.0,1.0
464,2.0,2.0,0.0,5.0,5.0,0.0
465,10.0,10.0,0.0,9.0,9.0,0.0
466,2.0,2.0,0.0,1.0,1.0,0.0
467,3.0,1.0,2.0,2.0,2.0,0.0
468,52.0,52.0,0.0,55.0,54.0,1.0
469,12.0,12.0,0.0,12.0,12.0,0.0
470,2.0,2.0,0.0,1.0,1.0,0.0
471,1.0,1.0,0.0,1.0,1.0,0.0
472,14.0,5.0,9.0,2.0,2.0,0.0
473,1.0,1.0,0.0,1.0,1.0,0.0
474,1.0,1.0,0.0,1.0,1.0,0.0
475,6.0,6.0,0.0,8.0,8.0,0.0
476,13.0,12.0,1.0,14.0,13.0,1.0
477,3.0,3.0,0.0,0.0,0.0,0.0
478,2.0,2.0,0.0,2.0,2.0,0.0
479,3.0,3.0,0.0,5.0,5.0,0.0
480,12.0,12.0,0.0,12.0,12.0,0.0
481,29.0,27.0,2.0,32.0,19.0,13.0
482,1.0,1.0,0.0,1.0,1.0,0.0
483,1.0,1.0,0.0,0.0,0.0,0.0
484,21.0,21.0,0.0,23.0,21.0,2.0
485,1.0,1.0,0.0,1.0,1.0,0.0
486,4.0,4.0,0.0,2.0,2.0,0.0
487,2.0,2.0,0.0,0.0,0.0,0.0
488,8.0,8.0,0.0,8.0,8.0,0.0
489,8.0,8.0,0.0,10.0,10.0,0.0
490,2.0,2.0,0.0,3.0,3.0,0.0
491,16.0,16.0,0.0,13.0,13.0,0.0
492,45.0,44.0,1.0,42.0,41.0,1.0
493,16.0,16.0,0.0,14.0,14.0,0.0
494,7.0,7.0,0.0,8.0,7.0,1.0
495,8.0,8.0,0.0,10.0,10.0,0.0
496,2.0,2.0,0.0,4.0,4.0,0.0
497,4.0,4.0,0.0,2.0,2.0,0.0
498,2.0,2.0,0.0,3.0,3.0,0.0
499,5.0,5.0,0.0,3.0,3.0,0.0
500,4.0,4.0,0.0,6.0,6.0,0.0
501,3.0,3.0,0.0,3.0,3.0,0.0
502,8.0,6.0,2.0,10.0,10.0,0.0
503,2.0,2.0,0.0,1.0,1.0,0.0
504,1.0,1.0,0.0,0.0,0.0,0.0
505,1.0,1.0,0.0,1.0,1.0,0.0
506,2.0,2.0,0.0,4.0,4.0,0.0
507,3.0,3.0,0.0,4.0,3.0,1.0
508,2.0,2.0,0.0,4.0,4.0,0.0
509,3.0,3.0,0.0,1.0,1.0,0.0
510,1.0,1.0,0.0,2.0,2.0,0.0
511,1.0,1.0,0.0,1.0,1.0,0.0
512,2.0,2.0,0.0,3.0,3.0,0.0
513,2.0,2.0,0.0,2.0,2.0,0.0
514,5.0,5.0,0.0,4.0,4.0,0.0
515,2.0,2.0,0.0,1.0,1.0,0.0
516,4.0,4.0,0.0,4.0,4.0,0.0
517,2.0,2.0,0.0,3.0,3.0,0.0
518,3.0,3.0,0.0,4.0,4.0,0.0
519,1.0,1.0,0.0,1.0,1.0,0.0
520,12.0,12.0,0.0,18.0,18.0,0.0
521,7.0,7.0,0.0,10.0,10.0,0.0
522,30.0,29.0,1.0,27.0,26.0,1.0
523,49.0,49.0,0.0,38.0,38.0,0.0
524,1.0,1.0,0.0,1.0,1.0,0.0
525,1.0,1.0,0.0,2.0,2.0,0.0
526,3.0,3.0,0.0,3.0,3.0,0.0
527,2.0,2.0,0.0,2.0,2.0,0.0
528,1.0,1.0,0.0,1.0,1.0,0.0
529,1.0,1.0,0.0,1.0,1.0,0.0
530,8.0,7.0,1.0,9.0,9.0,0.0
531,1.0,1.0,0.0,1.0,1.0,0.0
532,2.0,2.0,0.0,3.0,3.0,0.0
533,12.0,12.0,0.0,13.0,13.0,0.0
534,7.0,7.0,0.0,6.0,6.0,0.0
535,21.0,21.0,0.0,13.0,13.0,0.0
536,3.0,3.0,0.0,3.0,3.0,0.0
537,45.0,45.0,0.0,48.0,46.0,2.0
538,9.0,9.0,0.0,7.0,7.0,0.0
539,14.0,13.0,1.0,14.0,13.0,1.0
540,38.0,38.0,0.0,44.0,43.0,1.0
541,1.0,1.0,0.0,1.0,1.0,0.0
542,2.0,2.0,0.0,1.0,1.0,0.0
543,1.0,1.0,0.0,1.0,1.0,0.0
544,1.0,1.0,0.0,2.0,2.0,0.0
545,66.0,65.0,1.0,17.0,11.0,6.0
546,112.0,111.0,1.0,138.0,131.0,7.0
547,13.0,13.0,0.0,14.0,14.0,0.0
548,3.0,3.0,0.0,3.0,3.0,0.0
549,2.0,2.0,0.0,1.0,1.0,0.0
550,33.0,33.0,0.0,44.0,43.0,1.0
551,1.0,1.0,0.0,0.0,0.0,0.0
552,1.0,1.0,0.0,1.0,1.0,0.0
553,0.0,0.0,0.0,1.0,1.0,0.0
554,8.0,8.0,0.0,8.0,8.0,0.0
555,1.0,1.0,0.0,2.0,2.0,0.0
556,1.0,1.0,0.0,1.0,1.0,0.0
557,2.0,2.0,0.0,3.0,3.0,0.0
558,2.0,2.0,0.0,2.0,2.0,0.0
559,1.0,1.0,0.0,3.0,3.0,0.0
560,2.0,2.0,0.0,2.0,2.0,0.0
561,10.0,8.0,2.0,8.0,8.0,0.0
562,2.0,2.0,0.0,2.0,2.0,0.0
563,7.0,7.0,0.0,8.0,8.0,0.0
564,5.0,5.0,0.0,4.0,4.0,0.0
565,1.0,1.0,0.0,1.0,1.0,0.0
566,9.0,7.0,2.0,7.0,6.0,1.0
567,2.0,2.0,0.0,2.0,2.0,0.0
569,2.0,2.0,0.0,3.0,3.0,0.0
570,17.0,16.0,1.0,19.0,18.0,1.0
571,6.0,5.0,1.0,3.0,3.0,0.0
572,2.0,2.0,0.0,2.0,2.0,0.0
573,4.0,4.0,0.0,4.0,4.0,0.0
574,1.0,1.0,0.0,1.0,1.0,0.0
575,1.0,1.0,0.0,1.0,1.0,0.0
